new-clean-winemag-data-130k-v2,,,,,,,,,,,,,
id,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
42,France,"This is a festive wine, with soft, ripe fruit and acidity, plus a red berry flavor.",Nouveau,86,9,Beaujolais,Beaujolais,,Roger Voss,@vossroger,Henry Fessy 2012 Nouveau,Gamay,Henry Fessy
43,United States,"The clean, brisk mouthfeel gives this slightly oaked Sauvignon Blanc instant likeability. It's dry with a rich streak of honey that sweetens the citrus, pear and tropical fruit flavors. Pair this with Asian fare, ham or a green salad with grapefruit sections.",,86,14,California,Paso Robles,Central Coast,,,Robert Hall 2011 Sauvignon Blanc,Sauvignon Blanc,Robert Hall
44,Chile,"A berry aroma comes with cola and herb notes. The palate is tangy and racy, and it delivers raspberry and plum flavors, with a modest finish.",,86,9,Maule Valley,,,Michael Schachner,@wineschach,Sundance 2011 Merlot,Merlot,Sundance
45,United States,"Right out of the starting blocks this is an oaky wine, dripping with caramel and vanilla notes. The texture on the midpalate is finessed and graceful, with drying tannins that latch onto the oak-driven finish. An eccentric blend of 50% Tannat, 35% Petit Verdot and 15% Pinotage.",#socialsecret,86,40,Virginia,Virginia,,,,Tarara 2010 #socialsecret Red,Red Blend,Tarara
46,Italy,"Spicy, fresh and clean, this would pair with fried seafood or spaghetti con vongole. It offers pretty citrus tones followed by a drying mineral nuance.",Sallier De La Tour,86,13,Sicily and Sardinia,Sicilia,,,,Tasca D'almerita 2011 Sallier De La Tour Inzolia,Insolia,Tasca D'almerita
47,United States,"This is a sweet wine with flavors of white sugar, orange, honey and vanilla, all brightened by crisp acidity.",,86,13,California,Lake County,,,,The White Knight 2011 Riesling,Riesling,The White Knight
48,United States,"This bottling resembles the New Zealand paradigm of Sauvignon Blanc, bearing aromas of grapefruit, passion fruit and kiwi; a sprinkling of graham cracker adds interest. The wine hits the palate like a fleshy fist, with an intense, grassy gooseberry flavor that provides plenty of punch. Pair with apricot-glazed roasted chicken.",,86,16,Virginia,Monticello,,,,Trump 2011 Sauvignon Blanc,Sauvignon Blanc,Trump
49,France,"Soft and fruity, this is a generous, ripe wine that's full of juicy red-cherry fruits and gentle tannins. It has some richness, giving a sweet character to this open, ready-to-drink wine.",Eté Indien,86,14,Beaujolais,Brouilly,,Roger Voss,@vossroger,Vignerons De Bel Air 2011 Eté Indien,Gamay,Vignerons De Bel Air
50,Italy,"This blend of Nero d'Avola and Syrah opens with savory aromas of cured meat, dried berry, cassis, tobacco and wet earth. There's a touch of almond bitterness on the finish.",Scialo,86,0,Sicily and Sardinia,Sicilia,,,,Viticultori Associati Canicatti 2008 Scialo Red,Red Blend,Viticultori Associati Canicatti
51,Chile,"This is much different than Casa Silva's 2009 Petit Verdot, which was tasted in the same flight. The '08 is more hard, spicy and tarry, with a leafy, herbal aroma, plus some grittiness. The palate feels snappy, with a can't-miss saltiness. The finish is long in length but short on fruit, with a raw feel.",Gran Reserve,85,22,Colchagua Valley,,,Michael Schachner,@wineschach,Casa Silva 2008 Gran Reserva Petit Verdot,Petit Verdot,Casa Silva
52,Italy,"The Monica grape often shows a rustic or raw quality, with aromas of cherry cola, black pepper and sour fruit. This expression does just that, with an added touch of bright acidity on the finish.",Dolia,85,14,Sicily and Sardinia,Monica Di Sardegna,,,,Cantine Di Dolianova 2010 Dolia,Monica,Cantine Di Dolianova
53,France,"Fruity and lightly herbaceous, this has fine textured acidity along with a pink grapefruit flavor. The wine is bright and easy, and it will be ready to drink in a few months.",La Fleur D'amélie,85,15,Bordeaux,Bordeaux Blanc,,Roger Voss,@vossroger,Château De Sours 2011 La Fleur D'amélie,Bordeaux-style White Blend,Château De Sours
54,Italy,"A blend of Nero d'Avola and Nerello Mascalese, this delivers forest berry and cola, with blue flower and dusty mineral accents. The palate is easy, bright and lean.",Rosso,85,0,Sicily and Sardinia,Sicilia,,,,Corvo 2010 Rosso Red,Red Blend,Corvo
55,United States,"This shows jelly-like flavors of orange and pear, with some earthy tones. The mouthfeel is soft and there's a bounty of oak in the form of buttered toast and caramel notes.",Estate,85,30,California,Napa Valley,Napa,,,Rustridge 2010 Estate Bottled Chardonnay,Chardonnay,Rustridge
56,United States,"This is weighty, creamy and medium to full in body. It has plenty of lime and pear flavors, plus slight brown sugar and vanilla notes.",,85,14,California,North Coast,,Virginie Boone,@vboone,Souverain 2010 Chardonnay,Chardonnay,Souverain
57,Italy,"There's a touch of toasted almond at the start, but then this Grillo revs up in the glass to deliver notes of citrus, stone fruit, crushed stone and lemon tart. The mouthfeel is crisp and simple.",Sallier De La Tour,85,13,Sicily and Sardinia,Sicilia,,,,Tasca D'almerita 2011 Sallier De La Tour Grillo,Grillo,Tasca D'almerita
58,Chile,"Lightly herbal strawberry and raspberry aromas are authentic and fresh. On the palate, this is light and juicy, with snappy, lean flavors of red fruit and dry spice. The finish is dry and oaky.",Reserve,85,13,Maipo Valley,,,Michael Schachner,@wineschach,Tres Palacios 2011 Reserve Pinot Noir,Pinot Noir,Tres Palacios
59,United States,"Aromas of cranberry, barrel spice and herb are followed by tart cranberry flavors with grainy tannins. It falls a bit flat and the variety seems hard to discern.",,86,55,Washington,Columbia Valley,Columbia Valley,Sean P. Sullivan,@wawinereport,Mellisoni 2014 Malbec,Malbec,Mellisoni
60,United States,"Syrupy and dense, this wine is jammy in plum and vanilla, with indeterminate structure and plenty of oak. Ripe and full-bodied, it has accents of graphite and leather.",Estate,86,100,California,Napa Valley,Napa,Virginie Boone,@vboone,Okapi 2013 Estate Cabernet Sauvignon,Cabernet Sauvignon,Okapi
61,Italy,This densely hued wine has aromas of black plum and vanilla that carry over to the simple palate along with a touch of cedar. Pliant tannins give it an easygoing nature. Drink soon.,Prugneto,86,17,Central Italy,Romagna,,Kerin O'keefe,@kerinokeefe,Podere Dal Nespoli 2015 Prugneto Sangiovese,Sangiovese,Podere Dal Nespoli
62,United States,"The aromas are brooding, with notes of barrel spice and cherry. The flavors are tart and elegant in style, with lightly gritty tannins backing them up. Best suited to the dinner table.",Alder Ridge Vineyard,86,25,Washington,Columbia Valley,Columbia Valley,Sean P. Sullivan,@wawinereport,Ram 2014 Alder Ridge Vineyard Cabernet Franc,Cabernet Franc,Ram
63,France,"This fat, yeasty Champagne is comprised predominantly of Pinot Noir. It has ripe red berry fruit, light acidity and a soft, creamy aftertaste. It's ready to drink.",Brut Rosé,86,58,Champagne,Champagne,,Roger Voss,@vossroger,Roland Champion Nv Brut Rosé,Champagne Blend,Roland Champion
64,United States,"There are intriguing touches to the nose of this bottling, with jasmine, sea salt, wet hay, quinine and rainy sidewalk. The structure on the sip is quite delicate, with golden apple and honey flavors.",Golden Horn,86,26,California,Santa Ynez Valley,Central Coast,Matt Kettmann,@mattkettmann,Sevtap 2015 Golden Horn Sauvignon Blanc,Sauvignon Blanc,Sevtap
65,France,"From the warm 2015 vintage, this is a soft and fruity wine. It's open with broad white fruit flavors, the acidity lighter than usual for Chablis, giving it a particularly ripe character. Drink now.",,86,24,Burgundy,Chablis,,Roger Voss,@vossroger,Simonnet-febvre 2015 Chablis,Chardonnay,Simonnet-febvre
66,France,"This soft, rounded wine is ripe with generous pear and melon flavors. It's easy and ready to drink young for its smooth, attractively ripe character.",,86,15,Burgundy,Mâcon-milly Lamartine,,Roger Voss,@vossroger,Vignerons Des Terres Secrètes 2015 Mâcon-milly Lamartine,Chardonnay,Vignerons Des Terres Secrètes
67,United States,"A blend of Merlot and Cabernet Franc, this wine brings disjointed lightly volatile aromas of wood spice, vanilla and cherry. The plump cherry flavors are rounded out by woody barrel notes.",Inspired,86,46,Washington,Columbia Valley,Columbia Valley,Sean P. Sullivan,@wawinereport,Basel Cellars 2013 Inspired Red,Bordeaux-style Red Blend,Basel Cellars
68,United States,"Very deep in color and spicy-smoky in flavor, this full-bodied wine is packed with dark-fruit flavors like blackberry and blueberry. Aromas like grilled beef and spicy flavors like cardamom and smoke give it a bold character that's hard to deny.",,86,12,California,California,California Other,Jim Gordon,@gordone_cellars,Cocobon 2014 Red,Red Blend,Cocobon
69,France,"This cooperative, based in Aÿ, has benefited from the fine Pinot Noir in the village to produce a ripe red fruited wine. With balanced acidity and a soft aftertaste, it is ready to drink.",Brut Rosé,86,55,Champagne,Champagne,,Roger Voss,@vossroger,Collet Nv Brut Rosé,Champagne Blend,Collet
70,United States,"Aromas of vanilla, char and toast lead to light creamy stone fruit and canned-corn flavors. It provides appeal but the oak seems overweighted.",,86,12,Washington,Columbia Valley,Columbia Valley,Sean P. Sullivan,@wawinereport,Drumheller 2014 Chardonnay,Chardonnay,Drumheller
71,United States,"Big oak defines this robustly dense and extracted red, swimming in vanilla and cherry flavor. Full-bodied and gravelly in texture, it's a rustically pleasant wine for pizza nights and crowds.",Old Vine,86,40,California,Alexander Valley,Sonoma,Virginie Boone,@vboone,Eco Terreno 2013 Old Vine Cabernet Sauvignon,Cabernet Sauvignon,Eco Terreno
72,Italy,"Aromas of black-skinned fruit, leather, underbrush, game and a briny note all carry over to the lean, somewhat disjointed palate along with suggestions of licorice and raw red cherry. Grainy tannins leave a drying finish.",Daginestra,86,32,Southern Italy,Aglianico,,Kerin O'keefe,@kerinokeefe,Grifalco 2013 Daginestra,Aglianico,Grifalco
73,United States,"Juicy plum, raspberry and pencil lead lead the way in this vineyard designate, a site that's 2,000 feet high. Tobacco and cedar meet a full-bodied hit of oak and puckering tannin, the wine still youthfully wrapped in its full-bodied boldness.",Bella Vetta Vineyard,86,75,California,Howell Mountain,Napa,Virginie Boone,@vboone,Hindsight 2013 Bella Vetta Vineyard Cabernet Sauvignon,Cabernet Sauvignon,Hindsight
74,United States,This is the producer's first release of this wine. Fruity aromas of plum and tart cranberry add to its overall sense of lightness and understatement.,Estate Grown,86,55,California,Calistoga,Napa,Virginie Boone,@vboone,Hindsight 2012 Estate Grown Petite Sirah,Petite Sirah,Hindsight
75,United States,"This is made from equal parts Cabernet Franc and Merlot, with small additions of Malbec. Juicy, it reveals a raisiny quality of ripeness around integrated oak and generous tannin.",The Cypher,86,75,California,Napa Valley,Napa,Virginie Boone,@vboone,Mulvane Wine Co. 2013 The Cypher Red,Bordeaux-style Red Blend,Mulvane Wine Co.
76,Germany,"Earthy pollen and mineral notes lend a savory tone to this medium-sweet Riesling. It's soft and slightly pulpy, intensified by overripe tangerine and stone fruit flavors. Drink now through 2018.",,86,9,Rheinhessen,,,Anna Lee C. Iijima,,Schmitt Söhne 2015 Riesling,Riesling,Schmitt Söhne
77,Australia,"This medium-bodied Chardonnay features aromas of pineapple and roasted cashew. Similar notes of ripe pineapple and nuts mark the palate, then ease to a rather soft, easy finish. Drink now.",Made With Organic Grapes,86,18,South Australia,South Australia,,Joe Czerwinski,@joecz,Yalumba 2016 Made With Organic Grapes Chardonnay,Chardonnay,Yalumba
78,United States,"Some rosés are made simply by bleeding the juice from the fermenter, to concentrate the remaining wine. Whether or not that is the case here, the wine has the simple pleasant lightly candied strawberry flavors one might expect from such a technique. It's fruity and undemanding. Drink up.",Rosé,86,25,Oregon,Eola-amity Hills,Willamette Valley,Paul Gregutt,@paulgwine,Z'ivo 2015 Rosé Of Pinot Noir,Pinot Noir,Z'ivo
79,Portugal,"Grown on the sandy soil of Tejo, the wine is typically soft and open. It is very accessible—with black fruits and light tannins for this grape. It is ready to drink.",Bridão,86,0,Tejo,,,Roger Voss,@vossroger,Adega Cooperativa Do Cartaxo 2014 Bridão Touriga Nacional,Touriga Nacional,Adega Cooperativa Do Cartaxo
80,Chile,"Caramelized oak and vanilla aromas are front and center on a barrel-heavy nose. This feels a bit choppy, with astringent tannins. Herbal salty plum flavors wear a lot of oaky makeup, while this finishes with a forced woody flavor.",Special Release Reserve,86,12,Rapel Valley,,,Michael Schachner,@wineschach,Aresti 2014 Special Release Reserva Carmenère,Carmenère,Aresti
81,Spain,"Bland, mature aromas of white fruits are on the weak side for Albariño. This feels round and oily, while briny leesy flavors lack pop and precision. A grabby aged finish is short on the free flow that this grape and region are known for. Drink immediately or wait for a newer vintage.",,86,16,Galicia,Rías Baixas,,Michael Schachner,@wineschach,Spyro 2014 Albariño,Albariño,Spyro
82,France,"This fruity, sweet wine is immediately attractive and ripe. With its great apricot and pineapple fruit, hints of spicy wood and balancing acidity, it's perfect as an apéritif—light and refreshing. Drink now.",Reserve,86,11,France Other,Vin De France,,Roger Voss,@vossroger,Lionel Osmin & Cie 2016 La Réserve Petit Manseng,Petit Manseng,Lionel Osmin & Cie
83,Australia,"Pale copper in hue, this wine exudes passion fruit on the nose, while the palate delivers nuances of muskmelon as well. It's crisp, racy and medium in body, perfectly suited to summertime refreshment. Drink now.",Jester Sangiovese,86,20,South Australia,Mclaren Vale,,Joe Czerwinski,@joecz,Mitolo 2016 Jester Sangiovese Rosé,Rosé,Mitolo
84,United States,"A healthy addition of 13% Petite Sirah provides added weight and intensity to this wine, a soft, supple and richly conceived combination of smoky black fruit and mocha.",Classic,86,24,California,Napa Valley,Napa,Virginie Boone,@vboone,Napa Cellars 2014 Classic Zinfandel,Zinfandel,Napa Cellars
85,Germany,"Pronounced dust, pollen and earth tones lend savoriness to this otherwise citrusy wine. Racy acidity and fresh tangerine and lemon flavors turn herbal on the finish. Drink now.",Undone Dry,86,10,Rheinhessen,,,Anna Lee C. Iijima,,P.J. Valckenberg 2015 Undone Dry Riesling,Riesling,P.J. Valckenberg
86,United States,"Vibrant aromas of ripe pear, white flowers and melon are followed by a just off-dry palate, with lean fruit flavors.",,86,20,Washington,Ancient Lakes,Columbia Valley,Sean P. Sullivan,@wawinereport,Palencia 2016 Albariño,Albariño,Palencia
87,United States,"Softened tannins surround a light-bodied, lean and herbal approach to this vineyard-designate, dotted in black pepper, leather and baked cherry.",Blau Vineyard,86,55,California,Knights Valley,Sonoma,Virginie Boone,@vboone,Passaggio 2014 Blau Vineyards Merlot,Merlot,Passaggio
88,Italy,"Subdued aromas of French oak, toast and acacia waft out of the glass. The rather lean palate offers oak-driven spice, chopped herb and a hint of citrus set against racy acidity. It's rather shy on fruit richness.",Le Mandorle Riserva,86,29,Tuscany,Vernaccia Di San Gimignano,,Kerin O'keefe,@kerinokeefe,Poggio Alloro 2014 Le Mandorle Riserva,Vernaccia,Poggio Alloro
